Shot #,Player,TEAM,Opponent,Date,Art x,Art y,Outcome,Assist,Type,Play,State,Angle,Distance,x,y
179,Piatti,MTL,NYRB,42441,11.5,35.2,0,pass,left,open,0,14.60278483,15.23975065,11.5,14.8
180,Ontivero,MTL,NYRB,42441,15.5,20.3,0,pass,left,open,0,17.50324933,16.25607579,15.5,29.7
181,Oduro,MTL,NYRB,42441,10.1,30.2,1,pass,right,open,0,23.24211673,11.26987134,10.1,19.8
182,Piatti,MTL,NYRB,42441,11.3,15.3,1,self,right,open,1,15.284426,15.02331521,11.3,34.7
183,Piatti,MTL,NYRB,42441,7.7,33.4,0,self,left,open,2,18.01921141,11.24855546,7.7,16.6
184,Jackson-Hamel,MTL,NYRB,42441,4.9,21.2,1,pass,right,open,2,38.80064332,6.32534584,4.9,28.8
185,Vincent,DC,NE,42441,10.1,15,0,pass,right,open,0,15.05554327,14.35444182,10.1,35
186,Acosta,DC,NE,42441,15,18.6,0,other,right,open,0,16.74790306,16.38780034,15,31.4
187,Neagle,DC,NE,42441,4.8,33,0,cross,header,set-piece,0,17.27108632,9.158602513,4.8,17
188,Nguyen,NE,DC,42441,7.9,32.2,0,pass,right,open,0,20.91561062,10.55509356,7.9,17.8
189,Nguyen,NE,DC,42441,20.1,38.4,0,pass,right,open,0,10.27075199,24.04682931,20.1,11.6
190,Nguyen,NE,DC,42441,12,15.8,0,pass,right,open,0,15.70774045,15.24335921,12,34.2
191,Fagundez,NE,DC,42441,20.9,40.3,0,pass,right,open,0,9.29352247,25.78410363,20.9,9.7
192,Valdez,SEA,RSL,42441,4.9,32.8,0,cross,right,open,0,18.07099593,9.042676595,4.9,17.2
193,Alonso,SEA,RSL,42441,3.7,19.6,1,other,right,open,0,28.06259798,6.711929678,3.7,30.4
194,Marshall,SEA,RSL,42441,4.9,27.8,0,cross,header,open,1,45.441861,5.547071299,4.9,22.2
195,Plata,RSL,SEA,42441,16.4,27.3,0,pass,right,open,0,17.6830958,16.53390456,16.4,22.7
196,Sunny,RSL,SEA,42441,9.6,23.7,1,cross,header,set-piece,-1,29.82134076,9.716480844,9.6,26.3
197,Olave,RSL,SEA,42441,0.8,24.2,1,cross,header,open,0,142.7969911,1.280624847,0.8,25.8
198,Giovinco,TOR,NYCFC,42442,17.6,35.4,0,self,right,set-piece,0,12.54887277,20.34207462,17.6,14.6
199,Perquis,TOR,NYCFC,42442,5.1,25.1,1,cross,right,open,-2,54.01118366,5.100980298,5.1,24.9
200,Giovinco,TOR,NYCFC,42442,14.2,34.5,1,pass,left,open,-1,14.51890261,16.97439248,14.2,15.5
201,Giovinco,TOR,NYCFC,42442,15.3,21.1,0,self,left,open,0,18.16095786,15.83982323,15.3,28.9
202,Diskerud,NYCFC,TOR,42442,9.5,32.3,0,cross,header,open,0,19.85789065,11.86001686,9.5,17.7
204,Villa,NYCFC,TOR,42442,4.8,28.7,1,other,right,open,1,39.78864305,5.940538696,4.8,21.3
205,Villa,NYCFC,TOR,42442,4.7,23.4,0,cross,right,open,2,53.79599439,5.032891813,4.7,26.6
206,Brillant,NYCFC,TOR,42442,4.2,21.3,0,cross,header,set-piece,1,41.63353934,5.731491952,4.2,28.7
207,Villa,NYCFC,TOR,42442,7.7,32.5,0,pass,left,open,1,20.20777152,10.61037228,7.7,17.5
208,Mendoza,NYCFC,TOR,42442,17.5,28.1,0,self,left,open,0,16.40459256,17.73865835,17.5,21.9
209,Lopez,NYCFC,TOR,42442,1.9,30.5,0,pass,left,open,0,20.03062389,5.630275304,1.9,19.5
210,Melano,POR,SJ,42442,11.2,14.5,0,pass,right,open,0,14.27331755,15.48967398,11.2,35.5
211,Chara,POR,SJ,42442,8.1,8.6,0,pass,right,open,-2,7.321764199,18.47078775,8.1,41.4
212,Adi,POR,SJ,42442,4.7,33.1,0,pass,left,open,-2,16.8017991,9.192388155,4.7,16.9
213,McInerney,POR,SJ,42442,5.6,23.8,1,pass,right,open,-2,48.19593801,5.772347876,5.6,26.2
214,Wondolowski,SJ,POR,42442,2.6,29.6,1,cross,right,open,0,32.5761936,5.110772936,2.6,20.4
215,Amarikwa,SJ,POR,42442,25.6,8.7,1,pass,right,open,1,8.284015629,30.45669056,25.6,41.3
216,Godoy,SJ,POR,42442,24.8,21,0,pass,left,open,2,11.67164434,25.15313102,24.8,29
217,Wondolowski,SJ,POR,42442,21.5,20,0,pass,right,open,2,13.09847,22.11990054,21.5,30
218,Larin,OCSC,NYCFC,42447,1.9,24.4,1,cross,header,open,0,105.7690782,2.061552813,1.9,25.6
219,Larin,OCSC,NYCFC,42447,9.1,24.2,0,cross,header,open,1,31.67581412,9.154780172,9.1,25.8
220,Molino,OCSC,NYCFC,42447,13.6,15.7,0,other,right,open,1,14.95889826,16.58945448,13.6,34.3
221,Molino,OCSC,NYCFC,42447,6.8,22.4,0,pass,right,open,1,37.40535663,7.353910524,6.8,27.6
222,Ribeiro,OCSC,NYCFC,42447,15.2,17.3,0,pass,left,open,1,15.57484877,17.13038237,15.2,32.7
223,Rivas,OCSC,NYCFC,42447,19.4,37.2,0,pass,left,open,1,11.01123156,22.81140066,19.4,12.8
224,Diskerud,NYCFC,OCSC,42447,7.4,14.8,0,pass,right,open,-1,14.2028211,12.76401191,7.4,35.2
225,Diskerud,NYCFC,OCSC,42447,7.8,17.1,0,cross,right,set-piece,-1,19.19731978,11.24499889,7.8,32.9
226,Matarrita,NYCFC,OCSC,42447,25.5,33.8,0,other,left,open,-1,10.42187877,26.91115011,25.5,16.2
227,Diskerud,NYCFC,OCSC,42447,13,26.8,0,pass,right,open,-1,22.22043618,13.09809146,13,23.2
228,Mendoza,NYCFC,OCSC,42447,6.8,16.9,0,self,right,open,-1,18.5967224,10.72986486,6.8,33.1
229,Mullins,NYCFC,OCSC,42447,18.6,22.8,0,self,left,open,-1,15.7022715,18.75419953,18.6,27.2
230,Ontivero,MTL,DAL,42448,7.9,32.3,0,pass,left,open,0,20.66087272,10.62167595,7.9,17.7
231,Jackson-Hamel,MTL,DAL,42448,14.9,27.9,0,pass,right,open,-2,19.10704068,15.14265499,14.9,22.1
232,Urruti,DAL,MTL,42448,0.6,35.1,0,pass,right,open,0,1.869045274,9.918165153,0.6,14.9
233,Castillo,DAL,MTL,42448,12.3,34.3,0,cross,header,set-piece,0,15.47523605,15.30032679,12.3,15.7
234,Diaz,DAL,MTL,42448,16.4,20.3,1,self,right,set-piece,0,16.69794993,17.11636644,16.4,29.7
235,Akindele,DAL,MTL,42448,7.8,37.6,0,pass,left,open,1,10.78924582,14.64923206,7.8,12.4
236,Urruti,DAL,MTL,42448,12.1,14.8,1,pass,right,open,1,14.47740474,15.95524992,12.1,35.2
237,Urruti,DAL,MTL,42448,17.9,15.6,0,pass,right,open,2,13.03634987,20.31181922,17.9,34.4
238,Plata,RSL,POR,42448,16.5,18.6,1,self,right,open,0,15.64120621,17.77104386,16.5,31.4
239,Olave,RSL,POR,42448,5.8,23,0,cross,header,set-piece,1,44.32419646,6.203224968,5.8,27
240,Maund,RSL,POR,42448,3.8,29.1,0,other,left,open,1,38.89866962,5.445181356,3.8,20.9
241,Movsisyan,RSL,POR,42448,12.7,18.3,1,self,left,open,1,18.32282415,14.45337331,12.7,31.7
242,Sunny,RSL,POR,42448,25,39.1,0,other,right,open,0,9.040493168,28.6043703,25,10.9
243,Valeri,POR,RSL,42448,13.7,31.5,0,pass,right,open,0,17.70330297,15.07912464,13.7,18.5
